BOP,GL,PL,Visible,Coterie ID,Industry,Subindustry,Class Description For Selection,Class Description,Class Selection Differentiation,Customer Friendly Name,Word Associations,Contractor Only - Office or Shop,Office/LRO/Condo,PL Group,PL Class,WC Class,Notes,Class Code,SIC Code,NAICS Code,Prop. Rate No.,Liab. Class Group,Liab. Exp. Base,EQ,EQSL
Y, ,Y,Y,10011,Professional Services,Offices,Accounting Services - Non-CPA's : Shared Building Occupancy – Office,Accounting Services – Except CPAs ,: Shared Building Occupancy – Office,Accounting Services - Non-CPA's,"Book Keeping, payroll, Bookkeeping",,Condominium – Office,Miscellaneous,Accounting,,,63621,8721,541219,2,18,LOI,3,M
, ,,,10012,Professional Services,Offices,Accounting Services - Non-CPA's : Building Owner / Lessor - Office - Shared Building Occupancy,Accounting Services – Except CPAs ,: Building Owner / Lessor - Office - Shared Building Occupancy,Accounting Services - Non-CPA's,"Book Keeping, payroll, Bookkeeping",,Condominium – Office – Lessors Risk Only,Miscellaneous,Accounting,,,63621,8721,531120,2,18,LOI,3,M
Y,Y,Y,Y,10013,Professional Services,Contractor,Accounting with IT Services  : Freelance (No Primary Office),Accounting with IT Services ,: Freelance (No Primary Office),,,,,Miscellaneous,Accounting with IT Services,,,10354,8721,541211,2,51,PAY,3,M
Y, ,Y,Y,10014,Medical Services,Offices,Acupressure services  ,Acupressure services ,,,,,,"Beauty, Health, and Wellbeing",Acupressure services,,,63981,80**,62111*,1,1,LOI,2,H
Y, ,Y,Y,10015,Medical Services,Offices,Acupuncture services  ,Acupuncture services ,,,,,,"Beauty, Health, and Wellbeing",Acupuncture services,,,63981,80**,62111*,1,1,LOI,2,H
, ,,,10016,Professional Services,Offices,Advertising and Related Services  : Building Owner / Lessor,Advertising and Related Services ,: Building Owner / Lessor,,Advertisement,,Lessors Risk Only,Consultants,Advertising,,,63651,731*,531120,1,1,LOI,3,M
Y, ,Y,Y,10017,Professional Services,Offices,Advertising and Related Services  : Office - Only Building Occupant,Advertising and Related Services ,: Office - Only Building Occupant,,Advertisement,,Office,Consultants,Advertising,,,63651,731*,541810,1,1,LOI,3,M
Y, ,Y,Y,10018,Professional Services,Offices,Advertising and Related Services  : Shared Building Occupancy – Office,Advertising and Related Services ,: Shared Building Occupancy – Office,,Advertisement,,Condominium – Office,Consultants,Advertising,,,63661,731*,541810,2,18,LOI,3,M
, ,,,10019,Professional Services,Offices,Advertising and Related Services  : Building Owner / Lessor - Office - Shared Building Occupancy,Advertising and Related Services ,: Building Owner / Lessor - Office - Shared Building Occupancy,,Advertisement,,Condominium – Office – Lessors Risk Only,Consultants,Advertising,,,63661,731*,531120,2,18,LOI,3,M
Y,Y,Y,Y,10020,Professional Services,Contractor,Agile Expert  ,Agile Expert ,,,,,,IT/Technology,IT Project Management,,,10372,7397,541512,1,51,PAY,3,M
Y, ,,Y,10021,Wholesalers & Distributors,Distributor,Air Conditioning Distributors ,Air Conditioning and Combined Air Conditioning and Heating Equipment – Distributors Only ,,Air Conditioning Distributors,"HVAC, Air Conditioning, ",,,,,,,50581,5075,421730,14,15,LOI,3,M
Y, ,,Y,10022,Retail Store & Services,Retail,Air Conditioning Retail ,Air Conditioning Equipment – Retail Only ,,Air Conditioning Retail,"Hvac, heating, Cooling",,,,,,,59999,5075,443111,9,8,LOI,3,M
Y,Y,Y,Y,10023,Artisan Contractor,Contractor,HVAC Installation and Repair Office ,"Air Conditioning Systems or Equipment – Dealer or Distributors and Installation, Servicing or Repair (Includes sales and installation of ducts and piping and also includes display rooms and shops) Office",,HVAC Installation and Repair Office,"Hvac, heating, Cooling",Office,,Consultants,Other consulting services,,,74011,1711,235110,19,57,PAY,3,M
Y,Y,Y,Y,10024,Artisan Contractor,Contractor,HVAC Installation and Repair Shop ,"Air Conditioning Systems or Equipment – Dealer or Distributors and Installation, Servicing or Repair (Includes sales and installation of ducts and piping and also includes display rooms and shops) Shop",,HVAC Installation and Repair Shop,"Hvac, heating, Cooling",Shop,,Consultants,Other consulting services,,,74021,1711,235110,20,57,PAY,3,M
Y,Y,Y,Y,10025,Professional Services,Contractor,"All Web, Mobile & Software Dev  ","All Web, Mobile & Software Dev ",,,,,,IT/Technology,Software Development,,,10426,7379,541519,1,51,PAY,3,M
Y,Y,Y,Y,10026,Professional Services,Contractor,Animated Explainer  ,Animated Explainer ,,,,,,Consultants,Other marketing/PR services,,,10497,7319,711510,1,51,PAY,3,M
Y,Y,Y,Y,10027,Professional Services,Contractor,Animation  ,Animation ,,,"Drawing, design",,,Consultants,Other consulting services,,,10498,7379,711510,1,51,PAY,3,M
Y,Y,Y,Y,10028,Professional Services,Contractor,Answering/paging servicer  ,Answering/paging servicer ,,,,,,Miscellaneous,Answering/paging servicer,,,10420,7319,541512,1,51,PAY,3,M
Y, ,,Y,10029,Retail Store & Services,Retail,Antique Stores  ,Antique Stores ,,,retail,,,,,,,59325,5932,453310,9,3,LOI,1,H
, ,,,10030,Habitational,Residential,Apartment with only residential tenants (less than 4 units) ,"Apartment Building - 4 families or fewer, with no office occupancy - includes 3- or 4-family lessor's risk only ",,Apartment with only residential tenants (less than 4 units),"Condo, Rental, Housing, Landlord",,,,,,,65144,6513,531110,4,19,LOI,3,M
, ,,,10031,Habitational,Residential,Apartment with one or more commercial tenants (less than 4 units) ,"Apartment Building - 4 families or fewer, with office occupancy - includes 3- or 4-family lessor's risk only  ",,Apartment with one or more commercial tenants (less than 4 units),"Condo, Rental, Housing, Landlord",,,,,,,65145,6513,531110,4,19,LOI,3,M
, ,,,10032,Habitational,Residential,Apartment with only residential tenants (more than 4 units) ,Apartment Building - Over 4 families with no office occupancy ,,Apartment with only residential tenants (more than 4 units),"Condo, Rental, Housing, Landlord",,,,,,,65146,6513,531110,6,20,LOI,3,M
, ,,,10033,Habitational,Residential,Apartment with one or more commercial tenants (more than 4 units) ,Apartment Building - Over 4 families with office occupancy ,,Apartment with one or more commercial tenants (more than 4 units),"Condo, Rental, Housing, Landlord",,,,,,,65147,6513,531110,6,20,LOI,3,M
Y, ,,Y,10034,Wholesalers & Distributors,Distributor,Household Appliance And Home Furnishing Distributor ,Appliance Distributors - Household and Home Furnishings ,,Household Appliance And Home Furnishing Distributor,"Provider, dealer, merchandiser,",,,,,,,50081,5064,421620,14,12,LOI,3,M
Y, ,,Y,10035,Wholesalers & Distributors,Distributor,"Household Appliance, Home Furnishing, Audio and Visual Entertainment Distributor ","Appliance Distributors - Household Types – Radio, Television or Compact Disc Players ",,"Household Appliance, Home Furnishing, Audio and Visual Entertainment Distributor","Television, Entertainment, Audio, Home, Theater",,,,,,,50061,5064,421620,14,12,LOI,2,M
Y, ,,Y,10036,Retail Store & Services,Retail,Household Appliance And Home Furnishing Store ,Appliance Stores - Household Appliances and Home Furnishings ,,Household Appliance And Home Furnishing Store,"Furniture, ",,,,,,,57224,5722,443111,9,5,LOI,3,M
Y, ,,Y,10037,Retail Store & Services,Retail,"Household Appliance, Home Furnishing, Audio and Visual Entertainment Store ","Appliance Stores - Radio, Television and Phonographic Stores (including parts and supplies) ",,"Household Appliance, Home Furnishing, Audio and Visual Entertainment Store","Television, Sound, system, Surround, ",,,,,,,57326,5731,443112,9,5,LOI,2,M
Y,Y,Y,Y,10038,Artisan Contractor,Contractor,Commercial Appliance Installation or Repair Office ,Appliances and Accessories – Installation or Service or Repair – Commercial (Not including TV or Radio) Office,,Commercial Appliance Installation or Repair Office,"Maintenance, Install, fix, Service",Office,,Consultants,Other consulting services,,,74071,1799,23599,19,53,PAY,3,M
Y,Y,Y,Y,10039,Artisan Contractor,Contractor,Commercial Appliance Installation or Repair Shop ,Appliances and Accessories – Installation or Service or Repair – Commercial (Not including TV or Radio) Shop,,Commercial Appliance Installation or Repair Shop,"Maintenance, Install, fix, Service",Shop,,Consultants,Other consulting services,,,74081,1799,23599,20,53,PAY,3,M
Y,Y,Y,Y,10040,Artisan Contractor,Contractor,Residential Appliance Installation or Repair Office ,Appliances and Accessories – Installation or Service or Repair – Household (Not including TV or Radio) Office,,Residential Appliance Installation or Repair Office,"Maintenance, Install, fix, Service",Office,,Consultants,Other consulting services,,,74101,1799,23599,19,53,PAY,3,M
Y,Y,Y,Y,10041,Artisan Contractor,Contractor,Residential Appliance Installation or Repair Shop ,Appliances and Accessories – Installation or Service or Repair – Household (Not including TV or Radio) Shop,,Residential Appliance Installation or Repair Shop,"Maintenance, Install, fix, Service",Shop,,Consultants,Other consulting services,,,74111,1799,23599,20,53,PAY,3,M
Y, ,Y,Y,10042,Artisan Contractor,Contractor,Residential and Commercial Appliance Installation or Repair ,"Appliances and Accessories – installation, servicing or repair – Commercial or Household ",,Residential and Commercial Appliance Installation or Repair,"Maintenance, Install, fix, Service",,,Consultants,Other consulting services,,,71212,762*,811412,8,4,LOI,3,M
Y,Y,Y,Y,10043,Professional Services,Contractor,Application development  ,Application development ,,,,,,IT/Technology,Application development,,,10400,7379,541512,1,51,PAY,3,M
Y,Y,Y,Y,10044,Professional Services,Contractor,Application service provider  ,Application service provider ,,,,,,IT/Technology,Application service provider,,,10402,7379,541512,1,51,PAY,3,M
Y,Y,Y,Y,10045,Professional Services,Contractor,Architecture  ,Architecture ,,,"Design, Building",,,Architects & Engineers,Architecture,,,10373,7379,541512,1,51,PAY,3,M
Y, ,,Y,10046,Retail Store & Services,Retail,Army and Navy Stores  ,Army and Navy Stores ,,,Surplus,,,,,,,53983,5399,453310,11,3,LOI,3,M
Y, ,,Y,10047,Retail Store & Services,Retail,Art Galleries - Not-for-profit  ,Art Galleries - Not-for-profit ,,,"Painting, Sculpture,",,,,,,,84112,8412,712110,5,3,LOI,1,H
Y, ,,Y,10048,Retail Store & Services,Retail,Art Galleries - Other than Not-for-profit  ,Art Galleries - Other than Not-for-profit ,,,"Painting, Sculpture,",,,,,,,84112,5999,453920,5,3,LOI,1,H
Y, ,Y,Y,10049,"Health, Beauty & Fitness",Offices,Art therapy  ,Art therapy ,,,,,,"Beauty, Health, and Wellbeing",Art therapy,,,63811,6324,621491,1,1,LOI,3,M
Y,Y,Y,Y,10050,Professional Services,Contractor,Article & Blog Writing  ,Article & Blog Writing ,,,"Online, Internet, copy",,,Consultants,Other consulting services,,,10499,7319,711510,1,51,PAY,3,M
Y,Y,,Y,10051,Professional Services,Contractor,Attorney - Contract Law  ,Attorney - Contract Law ,,,"lawyer, practice",,,n/a,,,,10341,8111,541110,2,51,PAY,3,M
Y,Y,,Y,10052,Professional Services,Contractor,Attorney - Corporate Law  ,Attorney - Corporate Law ,,,"lawyer, practice",,,n/a,,,,10342,8111,541110,2,51,PAY,3,M
Y,Y,,Y,10053,Professional Services,Contractor,Attorney - Criminal Law  ,Attorney - Criminal Law ,,,"lawyer, practice",,,n/a,,,,10343,8111,541110,2,51,PAY,3,M
Y,Y,,Y,10054,Professional Services,Contractor,Attorney - Family Law  ,Attorney - Family Law ,,,"lawyer, practice",,,n/a,,,,10344,8111,541110,2,51,PAY,3,M
Y,Y,,Y,10055,Professional Services,Contractor,Attorney - General Legal Consulting  ,Attorney - General Legal Consulting ,,,"lawyer, practice",,,n/a,,,,10350,8111,541199,2,51,PAY,3,M
Y,Y,,Y,10056,Professional Services,Contractor,Attorney - Intellectual Property Law  ,Attorney - Intellectual Property Law ,,,"lawyer, practice",,,n/a,,,,10349,8111,541199,2,51,PAY,3,M
Y, ,Y,Y,10057,Professional Services,Service,Traveling/Onsite Auctioneer ,Auctioneers – Sales conducted away from the insured's premises ,,Traveling/Onsite Auctioneer,,,,Miscellaneous,Auctioneering,,,59999,7389,561990,9,8,LOI,3,M
Y, ,Y,Y,10058,Professional Services,Service,Auctioneer ,Auctions – On premises owned or rented by the insured ,,Auctioneer,,,,Miscellaneous,Auctioneering,,,59999,5999,453998,9,8,LOI,3,M
Y,Y,Y,Y,10059,Professional Services,Contractor,Music Production ,Audio Mastering ,,Music Production,"DJ, Producer, audio",,,Consultants,Other consulting services,,,10500,7319,711510,2,51,PAY,3,M
Y,Y,Y,Y,10060,Professional Services,Contractor,Music Production ,Audio Mixing ,,Music Production,"DJ, Producer, audio",,,Consultants,Other consulting services,,,10501,7319,711510,2,51,PAY,3,M
Y,Y,Y,Y,10061,Professional Services,Contractor,Music Production ,Audio Production ,,Music Production,"DJ, Producer, audio",,,Consultants,Other consulting services,,,10502,7319,711510,2,51,PAY,3,M
Y, ,Y,Y,10062,Medical Services,Offices,Audiology  ,Audiology ,,,,,,"Beauty, Health, and Wellbeing",Audiology,,,63981,80**,62111*,1,1,LOI,2,H
Y, ,,Y,10063,Wholesalers & Distributors,Distributor,Auto Parts Distributor ,Automobile Parts and Supplies ,,Auto Parts Distributor,"Car, Automobile",,,,,,,50111,5013,421120,13,11,LOI,3,S
Y, ,,Y,10064,Retail Store & Services,Retail,Auto Parts Store ,Automobile Parts and Supplies (including tires) ,,Auto Parts Store,"Car, Automobile",,,,,,,55313,5531,441310,7,3,LOI,3,S
Y, ,,Y,10065,Retail Store & Services,Retail,"Baked Goods Store - (No Baking, Distribution Only) ",Bakeries - No baking on premises ,,"Baked Goods Store - (No Baking, Distribution Only)","Pastry, Doughnut, cookie, cake",,,,,,,50141,5149,422490,15,16,LOI,3,M
Y, ,,Y,10066,Retail Store & Services,Retail,"Bakery - (No Baking On-site, Sales Only) ",Bakeries - No baking on premises ,,"Bakery - (No Baking On-site, Sales Only)","Pastry, Doughnut, cookie, cake",,,,,,,54606,5461,445291,10,9,LOI,2,M
Y, ,,Y,10067,Food & Beverage,Limited Cooking Restaurant,Bakery ,Bakeries - With baking on premises ,,Bakery,"Pastry, Doughnut, cookie, cake",,,,,,,71311,5461,311811,10,9,LOI,2,M
Y, ,,Y,10068,Wholesalers & Distributors,Distributor,Barber Or Beauty Shop Supplier (Wholesale) ,"Barber or Beauty Shop Supplies Distributors (No re-packaging or re-labeling for ""own brand"" retail sale.) ",,Barber Or Beauty Shop Supplier (Wholesale),"Hair, Cut, haircut, ",,,,,,,50171,5087,421850,14,11,LOI,3,M
Y, ,Y,Y,10069,"Health, Beauty & Fitness",Service,Barber Shops  ,Barber Shops ,,,"Hair, Cut, haircut, ",,,"Beauty, Health, and Wellbeing",Barber / hair stylist services,,,71332,7241,812111,8,7,LOI,3,M
Y,,Y,Y,10070,"Health, Beauty & Fitness",Service,Beautician/cosmetology services  ,Beautician/cosmetology services ,,,,,,"Beauty, Health, and Wellbeing",Beautician/cosmetology services,,,71952,7231,812112,8,7,LOI,3,M
Y, ,Y,Y,10071,"Health, Beauty & Fitness",Service,Beauty Parlor ,Beauty Parlors and Hair Styling Salons (Including Nail Salons) ,,Beauty Parlor,,,,"Beauty, Health, and Wellbeing",Barber / hair stylist services,,,71952,7231,812112,8,7,LOI,3,M
, ,,,10072,Retail Store & Services,Retail,Liquor Store ,Beverage Stores – Liquor and Wine ,,Liquor Store,"Alcohol, Beer, Wine",,,,,,,59215,5921,445310,9,5,LOI,1,S
Y, ,,Y,10073,Retail Store & Services,Retail ,Bicycle Shops  ,Bicycle Shops ,,,"Bike, Biking",,,,,,,59505,5941,451110,9,6,LOI,3,S
Y, ,,Y,10074,Retail Store & Services,Retail Service,Bicycle Repair Shop ,Bicycle Shops - Repair and Maintenance Shops without Retail ,,Bicycle Repair Shop,"Bike, Fix, Cycle",,,,,,,59505,5941,811490,9,6,LOI,3,S
Y, ,,Y,10075,Food & Beverage,Casual Dining,Bistro/Café - BYOB ,"Bistros, Brasseries and Cafes – Bring Your Own Alcohol Establishments – With no sales of alcoholic beverages ",,Bistro/Café - BYOB,"food, restaurant",,,,,,,9671,5812,72210,28,41,SALES,2,M
Y, ,,Y,10076,Food & Beverage,Casual Dining,Bistro/Café - No Alcohol ,"Bistros, Brasseries and Cafes – With no sales of alcoholic beverages ",,Bistro/Café - No Alcohol,"food, restaurant",,,,,,,9611,5812,72210,28,40,SALES,2,M
Y, ,,Y,10077,Food & Beverage,Casual Dining,Bistro/Café - With Alcohol ,"Bistros, Brasseries and Cafes – With sales of alcoholic beverages up to 50% of total sales ",,Bistro/Café - With Alcohol,"food, restaurant, bar",,,,,,,9621,5812,72210,28,41,SALES,2,M
Y,Y,Y,Y,10078,Professional Services,Contractor,Blogging  ,Blogging ,,,,,,Consultants,Other consulting services,,,10503,7319,711510,1,51,PAY,3,M
,,,,10079,Habitational,Hotel/Motel,Commercial Room and Board House ,Boarding Houses/Rooms - Mercantile or office occupancy ,,Commercial Room and Board House,"Housing, Rental, Temporary",,,,,,,65133,6513,531110,6,20,LOI,3,M
,,,,10080,Habitational,Hotel/Motel,Room and Board House ,Boarding Houses/Rooms - No mercantile or office occupancy ,,Room and Board House,"Housing, Rental, Temporary",,,,,,,65132,6513,531110,6,20,LOI,3,M
,,,,10081,Habitational,Hotel/Motel,Room and Board House (With Offices) ,Boarding Houses/Rooms - Three or four family lessor's risks only - mercantile or office occupancy ,,Room and Board House (With Offices),"Housing, Rental, Temporary",,,,,,,65142,6513,531110,4,19,LOI,3,M
,,,,10082,Habitational,Hotel/Motel,Room and Board House (No Offices) ,Boarding Houses/Rooms - Three or four family lessor's risks only - no mercantile or office occupancy ,,Room and Board House (No Offices),"Housing, Rental, Temporary",,,,,,,65141,6513,531110,4,19,LOI,3,M
, ,,,10083,Retail Store & Services,Retail,Boat Dealers  ,Boat Dealers ,,,"Dealership, Ship, Marine",,,,,,,55973,5551,441222,9,8,LOI,3,S
, ,,,10084,Retail Store & Services,Retail,"Bone, Horn and Ivory Products – Retail Only  ","Bone, Horn and Ivory Products – Retail Only ",,,,,,,,,,59999,5999,453998,9,8,LOI,1,S
Y, ,,Y,10085,Wholesalers & Distributors,Distributor,Book Binding and Printing Distributor ,Bookbinding and Printing Supplies ,,Book Binding and Printing Distributor,"Book, printer, print",,,,,,,50201,5085,32311,14,14,LOI,3,H
Y, ,,Y,10086,Retail Store & Services,Retail,Book Binding and Printing Store ,Bookbinding and Printing Supplies ,,Book Binding and Printing Store,"Book, printer, print",,,,,,,50812,27**,32311,9,7,LOI,3,H
Y,Y,Y,Y,10087,Professional Services,Contractor,Bookkeeping  : Freelance (No Primary Office),Bookkeeping ,: Freelance (No Primary Office),,,,,Miscellaneous,Bookkeeping,,,10354,8721,541211,2,51,PAY,3,M
, ,,,10088,Professional Services,Offices,Bookkeeping Services  : Building Owner / Lessor,Bookkeeping Services ,: Building Owner / Lessor,,"Accounting, Accountant, CPA ",,Lessors Risk Only,Miscellaneous,Bookkeeping,,,63671,8721,531120,1,1,LOI,3,M
Y, ,Y,Y,10089,Professional Services,Offices,Bookkeeping Services  : Office - Only Building Occupant,Bookkeeping Services ,: Office - Only Building Occupant,,"Accounting, Accountant, CPA ",,Office,Miscellaneous,Bookkeeping,,,63671,8721,541219,1,1,LOI,3,M
Y, ,Y,Y,10090,Professional Services,Offices,Bookkeeping Services  : Shared Building Occupancy – Office,Bookkeeping Services ,: Shared Building Occupancy – Office,,"Accounting, Accountant, CPA ",,Condominium – Office,Miscellaneous,Bookkeeping,,,63681,8721,541219,2,18,LOI,3,M
, ,,,10091,Professional Services,Offices,Bookkeeping Services  : Building Owner / Lessor - Office - Shared Building Occupancy,Bookkeeping Services ,: Building Owner / Lessor - Office - Shared Building Occupancy,,"Accounting, Accountant, CPA ",,Condominium – Office – Lessors Risk Only,Miscellaneous,Bookkeeping,,,63681,8721,531120,2,18,LOI,3,M
Y, ,,Y,10092,Retail Store & Services,Retail,Book and Magazine Store ,Books and Magazines Stores - New ,,Book and Magazine Store,,,,,,,,59425,5942,451211,7,3,LOI,3,H
Y, ,,Y,10093,Retail Store & Services,Retail,Used Book and Magazine Store ,Books and Magazines Stores - Used ,,Used Book and Magazine Store,,,,,,,,59425,5932,453310,7,3,LOI,3,H
Y,Y,Y,Y,10094,Professional Services,Contractor,Brand Design  ,Brand Design ,,,,,,Consultants,Brand consultant,,,10504,7319,711510,1,51,PAY,3,M
Y,Y,Y,Y,10095,Professional Services,Contractor,Building inspection  ,Building inspection ,,,,,,Architects & Engineers,Building inspection,,,10399,7379,541512,1,51,PAY,3,M
Y, ,,Y,10096,Retail Store & Services,Retail,New Building Material Store ,Building Materials – New Contractors Equipment Dealers ,,New Building Material Store,,,,,,,,52114,5211,444190,9,8,LOI,4,M
Y, ,,Y,10097,Retail Store & Services,Retail,Used Building Material Store ,Building Materials – Used Contractors Equipment Dealers ,,Used Building Material Store,,,,,,,,52114,5932,453310,9,8,LOI,4,M
Y,Y,Y,Y,10098,Professional Services,Contractor,Business Distribution  ,Business Distribution ,,,,,,Consultants,Other consulting services,,,10433,7319,541611,1,51,PAY,3,M
Y,Y,Y,Y,10099,Professional Services,Contractor,Business Name and Slogan Creation  ,Business Name and Slogan Creation ,,,"marketing, brand, branding",,,Consultants,Brand consultant,,,10445,7319,541890,1,51,PAY,3,M
Y,Y,Y,Y,10100,Professional Services,Contractor,Business Planner  ,Business Planner ,,,,,,Consultants,Business consulting,,,10434,7319,541611,1,51,PAY,3,M
Y, ,,Y,10101,Food & Beverage,Fast Food Restaurants,Cafes  ,Cafes ,,,"Food, Diner",,,,,,,9001,5812,722212,18,32,SALES,2,M
Y, ,,Y,10102,Food & Beverage,Limited Cooking Restaurant,Cafes  ,Cafes ,,,"Food, Diner",,,,,,,9011,5812,722212,17,31,SALES,2,M
Y, ,,Y,10103,Food & Beverage,Fast Food Restaurants,Buffet ,Cafeteria Style – Buffet ,,Buffet,"Food, Diner",,,,,,,9021,5812,722212,18,32,SALES,2,M
Y, ,,Y,10104,Retail Store & Services,Retail,Camera Store ,Camera and Photographic Equipment – Retail Only ,,Camera Store,"Photography, Photographer, picture",,,,,,,59955,5946,443130,9,3,LOI,2,M
Y, ,,Y,10105,Retail Store & Services,Retail,Candy Stores - No Onsite Manufacturing ,Candy or Confectionary Stores - No Manufacturing on Premises ,,Candy Stores - No Onsite Manufacturing,"Chocolate, sweet, ",,,,,,,54457,5441,445292,9,9,LOI,2,M
Y, ,,Y,10106,Food & Beverage,Limited Cooking Restaurant,Candy Stores - Onsite Chocolate Manufacturing ,Candy Or Confectionery Stores – Manufacturing from Purchased Chocolate on Premises ,,Candy Stores - Onsite Chocolate Manufacturing,"Chocolate, sweet, ",,,,,,,54467,2066,311330,10,9,LOI,2,M
Y, ,,Y,10107,Food & Beverage,Limited Cooking Restaurant,Candy Stores - Onsite Non-Chocolate Manufacturing ,Candy Or Confectionery Stores – Non–chocolate Manufacturing On Premises ,,Candy Stores - Onsite Non-Chocolate Manufacturing,"Chocolate, sweet, ",,,,,,,54477,2064,311340,10,9,LOI,2,M
Y,Y,Y,Y,10108,Professional Services,Contractor,Career Coaching  ,Career Coaching ,,,,,,Miscellaneous,Life/career/executive coaching,,,10440,7319,541690,1,51,PAY,3,M
Y,Y,Y,Y,10109,Artisan Contractor,Contractor,Residential Construction (less than 3 stories) Office ,Carpentry – Construction of Residential Property – Not exceeding 3 stories in height Office,,Residential Construction (less than 3 stories) Office,"Carpenter, building, home",Office,,Consultants,Other consulting services,,This classification includes construction of private garages in connection with such residential property. This classification also includes incidental shop work.,74161,1751,235510,19,55,PAY,3,S
Y,Y,Y,Y,10110,Artisan Contractor,Contractor,Residential Construction (less than 3 stories) Shop ,Carpentry – Construction of Residential Property – Not exceeding 3 stories in height Shop,,Residential Construction (less than 3 stories) Shop,"Carpenter, building, home",Shop,,Consultants,Other consulting services,,This classification includes construction of private garages in connection with such residential property. This classification also includes incidental shop work.,74171,1751,235510,20,55,PAY,3,S
Y,Y,Y,Y,10111,Artisan Contractor,Contractor,Interior Carpentry/Remodeling Office ,Carpentry – Interior Office,,Interior Carpentry/Remodeling Office,"Remodeling, Contractor, Handyman",Office,,Consultants,Other consulting services,,"This classification includes the installation of doors, floors, windows, cabinets and hardwood or parquet flooring. This classification is not applicable to contractors engaged in any other carpentry operations at the same job or location.",74221,1751,235510,19,55,PAY,3,S
Y,Y,Y,Y,10112,Artisan Contractor,Contractor,Interior Carpentry/Remodeling Shop ,Carpentry – Interior Shop,,Interior Carpentry/Remodeling Shop,"Remodeling, Contractor, Handyman",Shop,,Consultants,Other consulting services,,"This classification includes the installation of doors, floors, windows, cabinets and hardwood or parquet flooring. This classification is not applicable to contractors engaged in any other carpentry operations at the same job or location.",74231,1751,235510,20,55,PAY,3,S
Y,Y,Y,Y,10113,Artisan Contractor,Contractor,"Carpet, Rug, Furniture or Upholstery Cleaning Service Office ","Carpet, Rug, Furniture or Upholstery Cleaning – On customer's premises Office",,"Carpet, Rug, Furniture or Upholstery Cleaning Service Office","Shampoo, restoration, ",Office,,Consultants,Other consulting services,,,74251,7217,561740,19,55,PAY,3,M
Y,Y,Y,Y,10114,Artisan Contractor,Contractor,"Carpet, Rug, Furniture or Upholstery Cleaning Service Shop ","Carpet, Rug, Furniture or Upholstery Cleaning – On customer's premises Shop",,"Carpet, Rug, Furniture or Upholstery Cleaning Service Shop","Shampoo, restoration, ",Shop,,Consultants,Other consulting services,,,74261,7217,561740,20,55,PAY,3,M
